"統計名：","平成27年国勢調査 就業状態等基本集計（労働力状態，就業者の産業･職業など）"
"表番号：","00630"
"表題：","産業(大分類)，男女別15歳以上就業者数及び産業別割合 全国，都道府県，市区町村"
"実施年月：","2015年","10月"
"市区町村時点（年月日）：","-"

"***","当該数値がないもの"
"-","当該数値がないもの"

"","","","","","","/男女別_2015 コード","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0010","0010","0010","0010","0010","0010","0010","0010","0010","0010","0010","0010","0010","0010","0010","0010","0010","0010","0010","0010","0010","0010","0010","0010","0010","0010","0010","0010","0010","0010","0010","0010","0010","0010","0010","0010","0010","0010","0010","0010","0010","0010","0010","0010","0010","0010","0010","0010","0010","0020","0020","0020","0020","0020","0020","0020","0020","0020","0020","0020","0020","0020","0020","0020","0020","0020","0020","0020","0020","0020","0020","0020","0020","0020","0020","0020","0020","0020","0020","0020","0020","0020","0020","0020","0020","0020","0020","0020","0020","0020","0020","0020","0020","0020","0020","0020","0020","0020"
"","","","","","","/男女別_2015","総数（男女別）","総数（男女別）","総数（男女別）","総数（男女別）","総数（男女別）","総数（男女別）","総数（男女別）","総数（男女別）","総数（男女別）","総数（男女別）","総数（男女別）","総数（男女別）","総数（男女別）","総数（男女別）","総数（男女別）","総数（男女別）","総数（男女別）","総数（男女別）","総数（男女別）","総数（男女別）","総数（男女別）","総数（男女別）","総数（男女別）","総数（男女別）","総数（男女別）","総数（男女別）","総数（男女別）","総数（男女別）","総数（男女別）","総数（男女別）","総数（男女別）","総数（男女別）","総数（男女別）","総数（男女別）","総数（男女別）","総数（男女別）","総数（男女別）","総数（男女別）","総数（男女別）","総数（男女別）","総数（男女別）","総数（男女別）","総数（男女別）","総数（男女別）","総数（男女別）","総数（男女別）","総数（男女別）","総数（男女別）","総数（男女別）","男","男","男","男","男","男","男","男","男","男","男","男","男","男","男","男","男","男","男","男","男","男","男","男","男","男","男","男","男","男","男","男","男","男","男","男","男","男","男","男","男","男","男","男","男","男","男","男","男","女","女","女","女","女","女","女","女","女","女","女","女","女","女","女","女","女","女","女","女","女","女","女","女","女","女","女","女","女","女","女","女","女","女","女","女","女","女","女","女","女","女","女","女","女","女","女","女","女"
"","","","","","","/産業分類_2015 コード","0000","0010","0020","0080","0130","0160","0190","1360","1420","1590","1760","2250","2320","2400","2610","2720","2910","3020","3190","3240","3480","3540","3570","3580","3590","3600","3610","3620","3630","3640","3650","3660","3670","3680","3690","3700","3710","3720","3730","3740","3750","3760","3770","3780","3790","3800","3810","3820","3830","0000","0010","0020","0080","0130","0160","0190","1360","1420","1590","1760","2250","2320","2400","2610","2720","2910","3020","3190","3240","3480","3540","3570","3580","3590","3600","3610","3620","3630","3640","3650","3660","3670","3680","3690","3700","3710","3720","3730","3740","3750","3760","3770","3780","3790","3800","3810","3820","3830","0000","0010","0020","0080","0130","0160","0190","1360","1420","1590","1760","2250","2320","2400","2610","2720","2910","3020","3190","3240","3480","3540","3570","3580","3590","3600","3610","3620","3630","3640","3650","3660","3670","3680","3690","3700","3710","3720","3730","3740","3750","3760","3770","3780","3790","3800","3810","3820","3830"
"表章項目 コード","表章項目","時間軸（年次） コード","時間軸（年次）","地域（2015） コード","地域（2015）","/産業分類_2015","総数（産業分類）【人】","A 農業，林業【人】","うち農業【人】","B 漁業【人】","C 鉱業，採石業，砂利採取業【人】","D 建設業【人】","E 製造業【人】","F 電気・ガス・熱供給・水道業【人】","G 情報通信業【人】","H 運輸業，郵便業【人】","I 卸売業，小売業【人】","J 金融業，保険業【人】","K 不動産業，物品賃貸業【人】","L 学術研究，専門・技術サービス業【人】","M 宿泊業，飲食サービス業【人】","N 生活関連サービス業，娯楽業【人】","O 教育，学習支援業【人】","P 医療，福祉【人】","Q 複合サービス事業【人】","R サービス業（他に分類されないもの）【人】","S 公務（他に分類されるものを除く）【人】","T 分類不能の産業【人】","（再掲）第1次産業【人】","（再掲）第2次産業【人】","（再掲）第3次産業【人】","（割合（％）） A 農業，林業","（割合（％）） うち農業","（割合（％）） B 漁業","（割合（％）） C 鉱業，採石業，砂利採取業","（割合（％）） D 建設業","（割合（％）） E 製造業","（割合（％）） F 電気・ガス・熱供給・水道業","（割合（％）） G 情報通信業","（割合（％）） H 運輸業，郵便業","（割合（％）） I 卸売業，小売業","（割合（％）） J 金融業，保険業","（割合（％）） K 不動産業，物品賃貸業","（割合（％）） L 学術研究，専門・技術サービス業","（割合（％）） M 宿泊業，飲食サービス業","（割合（％）） N 生活関連サービス業，娯楽業","（割合（％）） O 教育，学習支援業","（割合（％）） P 医療，福祉","（割合（％）） Q 複合サービス事業","（割合（％）） R サービス業（他に分類されないもの）","（割合（％）） S 公務（他に分類されるものを除く）","（割合（％）） T 分類不能の産業","（割合（％）） 第1次産業","（割合（％）） 第2次産業","（割合（％）） 第3次産業","総数（産業分類）【人】","A 農業，林業【人】","うち農業【人】","B 漁業【人】","C 鉱業，採石業，砂利採取業【人】","D 建設業【人】","E 製造業【人】","F 電気・ガス・熱供給・水道業【人】","G 情報通信業【人】","H 運輸業，郵便業【人】","I 卸売業，小売業【人】","J 金融業，保険業【人】","K 不動産業，物品賃貸業【人】","L 学術研究，専門・技術サービス業【人】","M 宿泊業，飲食サービス業【人】","N 生活関連サービス業，娯楽業【人】","O 教育，学習支援業【人】","P 医療，福祉【人】","Q 複合サービス事業【人】","R サービス業（他に分類されないもの）【人】","S 公務（他に分類されるものを除く）【人】","T 分類不能の産業【人】","（再掲）第1次産業【人】","（再掲）第2次産業【人】","（再掲）第3次産業【人】","（割合（％）） A 農業，林業","（割合（％）） うち農業","（割合（％）） B 漁業","（割合（％）） C 鉱業，採石業，砂利採取業","（割合（％）） D 建設業","（割合（％）） E 製造業","（割合（％）） F 電気・ガス・熱供給・水道業","（割合（％）） G 情報通信業","（割合（％）） H 運輸業，郵便業","（割合（％）） I 卸売業，小売業","（割合（％）） J 金融業，保険業","（割合（％）） K 不動産業，物品賃貸業","（割合（％）） L 学術研究，専門・技術サービス業","（割合（％）） M 宿泊業，飲食サービス業","（割合（％）） N 生活関連サービス業，娯楽業","（割合（％）） O 教育，学習支援業","（割合（％）） P 医療，福祉","（割合（％）） Q 複合サービス事業","（割合（％）） R サービス業（他に分類されないもの）","（割合（％）） S 公務（他に分類されるものを除く）","（割合（％）） T 分類不能の産業","（割合（％）） 第1次産業","（割合（％）） 第2次産業","（割合（％）） 第3次産業","総数（産業分類）【人】","A 農業，林業【人】","うち農業【人】","B 漁業【人】","C 鉱業，採石業，砂利採取業【人】","D 建設業【人】","E 製造業【人】","F 電気・ガス・熱供給・水道業【人】","G 情報通信業【人】","H 運輸業，郵便業【人】","I 卸売業，小売業【人】","J 金融業，保険業【人】","K 不動産業，物品賃貸業【人】","L 学術研究，専門・技術サービス業【人】","M 宿泊業，飲食サービス業【人】","N 生活関連サービス業，娯楽業【人】","O 教育，学習支援業【人】","P 医療，福祉【人】","Q 複合サービス事業【人】","R サービス業（他に分類されないもの）【人】","S 公務（他に分類されるものを除く）【人】","T 分類不能の産業【人】","（再掲）第1次産業【人】","（再掲）第2次産業【人】","（再掲）第3次産業【人】","（割合（％）） A 農業，林業","（割合（％）） うち農業","（割合（％）） B 漁業","（割合（％）） C 鉱業，採石業，砂利採取業","（割合（％）） D 建設業","（割合（％）） E 製造業","（割合（％）） F 電気・ガス・熱供給・水道業","（割合（％）） G 情報通信業","（割合（％）） H 運輸業，郵便業","（割合（％）） I 卸売業，小売業","（割合（％）） J 金融業，保険業","（割合（％）） K 不動産業，物品賃貸業","（割合（％）） L 学術研究，専門・技術サービス業","（割合（％）） M 宿泊業，飲食サービス業","（割合（％）） N 生活関連サービス業，娯楽業","（割合（％）） O 教育，学習支援業","（割合（％）） P 医療，福祉","（割合（％）） Q 複合サービス事業","（割合（％）） R サービス業（他に分類されないもの）","（割合（％）） S 公務（他に分類されるものを除く）","（割合（％）） T 分類不能の産業","（割合（％）） 第1次産業","（割合（％）） 第2次産業","（割合（％）） 第3次産業"
"1","15歳以上就業者数","2015000000","2015年","00000","全国","","58,919,036","2,067,952","2,004,289","153,747","22,281","4,341,338","9,557,215","283,193","1,680,205","3,044,741","9,001,414","1,428,710","1,197,560","1,919,125","3,249,190","2,072,228","2,661,560","7,023,950","483,014","3,543,689","2,025,988","3,161,936","2,221,699","13,920,834","39,614,567","3.50982","3.40177","0.26095","0.03782","7.36831","16.22093","0.48065","2.85172","5.16767","15.27760","2.42487","2.03255","3.25722","5.51467","3.51708","4.51732","11.92136","0.81979","6.01451","3.43860","5.36658","3.98460","24.96693","71.04847","33,077,703","1,240,348","1,185,796","116,284","18,790","3,649,562","6,620,497","242,260","1,230,784","2,452,308","4,288,281","639,984","723,088","1,262,706","1,225,971","821,361","1,149,162","1,695,037","291,462","2,164,347","1,464,004","1,781,467","1,356,632","10,288,849","19,650,755","3.74980","3.58488","0.35155","0.05681","11.03330","20.01498","0.73240","3.72089","7.41378","12.96426","1.93479","2.18603","3.81739","3.70634","2.48313","3.47413","5.12441","0.88114","6.54322","4.42595","5.38570","4.33481","32.87568","62.78952","25,841,333","827,604","818,493","37,463","3,491","691,776","2,936,718","40,933","449,421","592,433","4,713,133","788,726","474,472","656,419","2,023,219","1,250,867","1,512,398","5,328,913","191,552","1,379,342","561,984","1,380,469","865,067","3,631,985","19,963,812","3.20264","3.16738","0.14497","0.01351","2.67701","11.36442","0.15840","1.73916","2.29258","18.23874","3.05219","1.83610","2.54019","7.82939","4.84057","5.85263","20.62166","0.74126","5.33774","2.17475","5.34210","3.53653","14.84815","81.61532"
"1","15歳以上就業者数","2015000000","2015年","01000","北海道","","2,435,098","138,740","132,015","31,596","2,094","205,224","204,251","13,201","42,566","130,793","378,424","48,102","45,599","63,572","144,990","88,880","105,352","326,058","32,078","171,436","127,202","134,940","170,336","411,569","1,718,253","5.69751","5.42134","1.29752","0.08599","8.42775","8.38779","0.54211","1.74802","5.37116","15.54040","1.97536","1.87257","2.61065","5.95418","3.64996","4.32640","13.38993","1.31732","7.04021","5.22369","5.54146","7.40540","17.89308","74.70152","1,348,044","79,519","73,852","20,930","1,856","176,750","125,121","11,461","30,284","110,328","179,028","21,377","28,181","42,936","53,024","35,177","52,783","83,534","21,164","97,054","101,238","76,299","100,449","303,727","867,569","5.89884","5.47846","1.55262","0.13768","13.11159","9.28167","0.85019","2.24651","8.18430","13.28058","1.58578","2.09051","3.18506","3.93340","2.60948","3.91553","6.19668","1.56998","7.19962","7.50999","5.65998","7.89852","23.88270","68.21879","1,087,054","59,221","58,163","10,666","238","28,474","79,130","1,740","12,282","20,465","199,396","26,725","17,418","20,636","91,966","53,703","52,569","242,524","10,914","74,382","25,964","58,641","69,887","107,842","850,684","5.44784","5.35052","0.98118","0.02189","2.61937","7.27931","0.16007","1.12984","1.88261","18.34279","2.45848","1.60231","1.89834","8.46011","4.94023","4.83591","22.31021","1.00400","6.84253","2.38847","5.39449","6.79562","10.48625","82.71813"
"1","15歳以上就業者数","2015000000","2015年","01100","札幌市","","844,313","3,716","3,362","74","152","65,418","52,933","4,261","31,115","45,251","144,795","21,734","25,350","31,907","51,046","31,060","39,075","113,400","5,993","69,851","31,030","76,152","3,790","118,503","645,868","0.44012","0.39819","0.00876","0.01800","7.74807","6.26936","0.50467","3.68524","5.35951","17.14945","2.57416","3.00244","3.77905","6.04586","3.67873","4.62802","13.43104","0.70981","8.27312","3.67518","9.01940","0.49339","15.42684","84.07977","460,571","2,474","2,188","55","127","55,638","32,723","3,678","22,329","37,864","70,691","9,962","15,942","21,158","19,830","12,000","19,271","30,875","4,039","35,523","24,092","42,300","2,529","88,488","327,254","0.53716","0.47506","0.01194","0.02757","12.08022","7.10488","0.79857","4.84811","8.22110","15.34856","2.16297","3.46136","4.59386","4.30553","2.60546","4.18415","6.70364","0.87695","7.71282","5.23090","9.18425","0.60463","21.15566","78.23971","383,742","1,242","1,174","19","25","9,780","20,210","583","8,786","7,387","74,104","11,772","9,408","10,749","31,216","19,060","19,804","82,525","1,954","34,328","6,938","33,852","1,261","30,015","318,614","0.32365","0.30593","0.00495","0.00651","2.54859","5.26656","0.15192","2.28956","1.92499","19.31089","3.06769","2.45165","2.80110","8.13463","4.96688","5.16076","21.50533","0.50920","8.94559","1.80799","8.82155","0.36040","8.57841","91.06119"
"1","15歳以上就業者数","2015000000","2015年","01101","札幌市 中央区","","102,279","265","149","4","19","3,945","4,568","710","5,170","2,501","14,632","3,750","3,659","5,295","7,756","3,720","5,670","14,867","579","7,576","4,351","13,242","269","8,532","80,236","0.25910","0.14568","0.00391","0.01858","3.85710","4.46621","0.69418","5.05480","2.44527","14.30597","3.66644","3.57747","5.17702","7.58318","3.63711","5.54366","14.53573","0.56610","7.40719","4.25405","12.94694","0.30212","9.58253","90.11535","54,121","198","101","4","13","3,156","3,084","607","3,574","2,122","7,152","2,115","2,175","3,331","3,335","1,398","2,690","5,132","377","3,459","3,099","7,100","202","6,253","40,566","0.36585","0.18662","0.00739","0.02402","5.83138","5.69834","1.12156","6.60372","3.92084","13.21483","3.90791","4.01877","6.15473","6.16212","2.58310","4.97034","9.48246","0.69659","6.39123","5.72606","13.11875","0.42960","13.29831","86.27209","48,158","67","48","-","6","789","1,484","103","1,596","379","7,480","1,635","1,484","1,964","4,421","2,322","2,980","9,735","202","4,117","1,252","6,142","67","2,279","39,670","0.13913","0.09967","0.00000","0.01246","1.63836","3.08152","0.21388","3.31409","0.78699","15.53221","3.39507","3.08152","4.07824","9.18020","4.82163","6.18796","20.21471","0.41945","8.54894","2.59978","12.75385","0.15946","5.42412","94.41641"
"1","15歳以上就業者数","2015000000","2015年","01102","札幌市 北区","","122,701","648","613","16","16","11,868","7,636","570","3,870","6,552","21,232","2,812","3,416","4,242","6,988","4,386","7,099","15,959","931","9,845","3,843","10,772","664","19,520","91,745","0.52811","0.49959","0.01304","0.01304","9.67229","6.22326","0.46454","3.15401","5.33981","17.30385","2.29175","2.78400","3.45718","5.69515","3.57454","5.78561","13.00641","0.75876","8.02357","3.13200","8.77906","0.59323","17.43963","81.96714","67,275","392","360","13","14","10,113","4,636","497","2,698","5,559","10,391","1,178","2,128","2,826","2,617","1,691","3,735","4,249","616","5,131","2,936","5,855","405","14,763","46,252","0.58268","0.53512","0.01932","0.02081","15.03233","6.89112","0.73876","4.01041","8.26310","15.44556","1.75102","3.16314","4.20067","3.89000","2.51356","5.55184","6.31587","0.91564","7.62690","4.36418","8.70308","0.65939","24.03614","75.30446","55,426","256","253","3","2","1,755","3,000","73","1,172","993","10,841","1,634","1,288","1,416","4,371","2,695","3,364","11,710","315","4,714","907","4,917","259","4,757","45,493","0.46188","0.45646","0.00541","0.00361","3.16638","5.41262","0.13171","2.11453","1.79158","19.55941","2.94807","2.32382","2.55476","7.88619","4.86234","6.06935","21.12727","0.56833","8.50503","1.63642","8.87129","0.51278","9.41812","90.06910"
"1","15歳以上就業者数","2015000000","2015年","01103","札幌市 東区","","114,463","530","503","11","10","10,727","7,458","573","3,835","6,875","20,900","2,334","3,392","3,696","6,815","3,898","4,122","14,551","751","9,979","3,562","10,444","541","18,195","85,283","0.46303","0.43944","0.00961","0.00874","9.37159","6.51564","0.50060","3.35043","6.00631","18.25918","2.03909","2.96340","3.22899","5.95389","3.40547","3.60116","12.71240","0.65611","8.71810","3.11192","9.12435","0.52010","17.49200","81.98791","63,154","323","305","7","10","9,161","4,692","482","2,760","5,834","10,143","901","2,102","2,401","2,546","1,516","1,998","3,812","508","5,064","2,712","6,182","330","13,863","42,779","0.51145","0.48295","0.01108","0.01583","14.50581","7.42946","0.76321","4.37027","9.23774","16.06074","1.42667","3.32837","3.80182","4.03142","2.40048","3.16370","6.03604","0.80438","8.01849","4.29426","9.78877","0.57923","24.33301","75.08776","51,309","207","198","4","-","1,566","2,766","91","1,075","1,041","10,757","1,433","1,290","1,295","4,269","2,382","2,124","10,739","243","4,915","850","4,262","211","4,332","42,504","0.40344","0.38590","0.00780","0.00000","3.05210","5.39087","0.17736","2.09515","2.02888","20.96513","2.79288","2.51418","2.52392","8.32018","4.64246","4.13962","20.93005","0.47360","9.57922","1.65663","8.30653","0.44849","9.20781","90.34370"
