pref,dense
北海道,68.63
青森県,135.63
岩手県,83.77
宮城県,320.49
秋田県,87.92
山形県,120.55
福島県,138.86
茨城県,478.42
栃木県,308.09
群馬県,310.13
埼玉県,"1,913.38"
千葉県,"1,206.49"
東京都,"6,168.74"
神奈川県,"3,777.67"
新潟県,183.11
富山県,251.04
石川県,275.68
福井県,187.74
山梨県,186.98
長野県,154.76
岐阜県,191.3
静岡県,475.78
愛知県,"1,446.72"
三重県,314.47
滋賀県,351.7
京都府,565.97
大阪府,"4,639.80"
兵庫県,658.83
奈良県,369.64
和歌山県,203.95
鳥取県,163.51
島根県,103.51
岡山県,270.09
広島県,335.4
山口県,229.82
徳島県,182.25
香川県,520.2
愛媛県,244.05
高知県,102.52
福岡県,"1,023.09"
佐賀県,341.23
長崎県,333.29
熊本県,241.07
大分県,183.94
宮崎県,142.73
鹿児島県,179.4
沖縄県,628.45
